Survived Pclass Sex Age Parch Fare Embarked
0 3 male 45.5 1 7.225 C
1 3 male 18 1 8.05 S
0 3 female 2 2 10.4625 S
0 3 male 32 1 15.85 S
1 3 male 26 1 18.7875 C
1 3 female 16 1 7.75 Q
1 1 male 40 1 31 C
0 3 male 24 1 7.05 S
1 2 female 35 1 21 S
0 3 male 22 1 7.25 S
0 2 male 30 1 13 S
1 1 female 31 1 113.275 C
1 3 female 27 1 7.925 S
0 2 male 42 1 27 S
1 1 female 32 1 76.2917 C
0 2 male 30 1 10.5 S
1 3 male 16 1 8.05 S
0 2 male 27 1 13 S
0 3 male 51 1 8.05 S
1 1 male 38 1 90 S
0 3 male 22 1 9.35 S
1 2 male 19 1 10.5 S
0 3 male 20.5 1 7.25 S
0 2 male 18 1 13 S
1 1 female 35 1 83.475 S
0 3 male 29 1 7.775 S
0 2 male 59 1 13.5 S
1 3 female 5 3 31.3875 S
0 2 male 24 1 10.5 S
0 2 male 44 1 26 S
1 2 female 8 3 26.25 S
0 2 male 19 1 10.5 S
0 2 male 33 1 12.275 S
0 2 male 29 1 10.5 S
0 3 male 22 1 7.125 S
0 3 male 30 1 7.225 C
0 1 male 44 1 90 Q
0 3 female 25 1 7.775 S
1 2 female 24 3 14.5 S
1 1 male 37 2 52.5542 S
0 2 male 54 1 26 S
0 3 female 29 2 10.4625 S
0 1 male 62 1 26.55 S
0 3 male 30 1 16.1 S
0 3 female 41 3 20.2125 S
1 3 female 29 3 15.2458 C
1 1 female 30 1 86.5 S
1 1 female 35 1 512.3292 C
1 2 female 50 2 26 S
1 3 male 3 3 31.3875 S
0 1 male 52 2 79.65 S
0 1 male 40 1 0 S
0 2 male 36 1 10.5 S
0 3 male 16 2 39.6875 S
1 3 male 25 1 7.775 S
1 1 female 58 2 153.4625 S
1 1 female 35 1 135.6333 S
1 3 male 25 1 0 S
1 2 female 41 2 19.5 S
0 1 male 37 2 29.7 C
1 1 female 63 1 77.9583 S
0 3 female 45 1 7.75 S
0 3 male 7 2 29.125 Q
1 3 female 35 2 20.25 S
0 3 male 65 1 7.75 Q
0 3 male 28 1 7.8542 S
0 3 male 16 1 9.5 S
1 3 male 19 1 8.05 S
0 3 male 33 1 8.6625 C
1 3 male 30 1 9.5 S
0 3 male 22 1 7.8958 S
1 2 male 42 1 13 S
1 3 female 22 1 7.75 Q
1 1 female 26 1 78.85 S
1 1 female 19 1 91.0792 C
0 2 male 36 1 12.875 C
0 3 female 24 1 8.85 S
0 3 male 24 1 7.8958 S
0 3 male 23.5 1 7.2292 C
0 1 female 2 3 151.55 S
1 1 female 50 2 247.5208 C
0 3 male 19 1 0 S
1 1 male 0.92 3 151.55 S
1 1 female 17 1 108.9 C
0 2 male 30 1 24 C
1 1 female 30 1 56.9292 C
1 1 female 24 1 83.1583 C
1 1 female 18 3 262.375 C
0 2 female 26 2 26 S
0 3 male 28 1 7.8958 S
0 2 male 43 2 26.25 S
1 3 female 26 1 7.8542 S
1 2 female 24 1 26 S
0 2 male 54 1 14 S
1 1 female 31 3 164.8667 S
1 1 female 40 2 134.5 C
0 3 male 22 1 7.25 S
0 3 male 27 1 7.8958 S
1 2 female 30 1 12.35 Q
1 2 female 22 2 29 S
1 1 female 36 1 135.6333 C
0 3 male 61 1 6.2375 S
1 2 female 36 1 13 S
1 3 female 31 2 20.525 S
1 1 female 16 2 57.9792 C
0 1 male 45.5 1 28.5 S
0 1 male 38 2 153.4625 S
0 3 male 16 1 18 S
0 1 male 29 1 66.6 S
1 1 female 41 1 134.5 C
1 3 male 45 1 8.05 S
0 1 male 45 1 35.5 S
1 2 male 2 2 26 S
1 1 female 24 3 263 S
0 2 male 28 1 13 S
0 2 male 25 1 13 S
0 2 male 36 1 13 S
1 2 female 24 1 13 S
1 2 female 40 1 13 S
1 3 male 3 2 15.9 S
0 3 male 42 1 8.6625 S
0 3 male 23 1 9.225 S
0 3 male 15 2 7.2292 C
0 3 male 25 1 17.8 S
0 3 male 28 1 9.5 S
1 1 female 22 2 55 S
0 2 female 38 1 13 S
0 3 male 40 5 27.9 S
0 2 male 29 1 27.7208 C
0 3 female 45 2 14.4542 C
0 3 male 35 1 7.05 S
0 3 male 30 1 7.25 S
1 1 female 60 1 75.25 C
1 1 female 24 1 69.3 C
1 1 male 25 1 55.4417 C
0 3 male 18 1 6.4958 S
0 3 male 19 1 8.05 S
0 1 male 22 1 135.6333 C
0 3 female 3 2 21.075 S
1 3 female 22 1 7.25 S
0 1 male 27 3 211.5 C
0 3 male 20 1 4.0125 C
0 3 male 19 1 7.775 S
1 1 female 42 1 227.525 C
1 3 female 1 3 15.7417 C
0 3 male 32 1 7.925 S
1 1 female 35 1 52 S
0 2 male 18 1 73.5 S
0 3 male 1 3 46.9 S
1 2 female 36 1 13 S
1 2 female 17 1 12 C
1 1 male 36 3 120 S
1 3 male 21 1 7.7958 S
0 3 male 28 1 7.925 S
1 1 female 23 1 113.275 C
1 3 female 24 3 16.7 S
0 3 male 22 1 7.7958 S
0 3 female 31 1 7.8542 S
0 2 male 46 1 26 S
0 2 male 23 1 10.5 S
1 2 female 28 1 12.65 S
1 3 male 39 1 7.925 S
0 3 male 26 1 8.05 S
0 3 female 21 1 9.825 S
0 3 male 28 1 15.85 S
0 3 female 20 1 8.6625 S
0 2 male 34 1 21 S
0 3 male 51 1 7.75 S
1 2 male 3 2 18.75 S
0 3 male 21 1 7.775 S
1 1 female 33 1 90 Q
1 3 male 44 1 7.925 S
1 2 female 34 2 32.5 S
1 2 female 18 3 13 S
0 2 male 30 1 13 S
0 3 female 10 3 24.15 S
0 3 male 21 1 7.7333 Q
0 3 male 29 1 7.875 S
0 3 female 28 2 14.4 S
0 3 male 18 2 20.2125 S
1 2 female 28 1 26 S
1 2 female 19 1 26 S
1 3 male 32 1 8.05 S
1 1 male 28 1 26.55 S
1 2 female 42 1 26 S
0 3 male 17 1 7.125 S
0 1 male 50 1 55.9 S
1 1 female 14 3 120 S
0 3 female 21 3 34.375 S
1 2 female 24 4 18.75 S
