Survived Pclass Sex Age Parch Fare Embarked
0 2 male 23 1 13 S
0 3 male 28.5 1 16.1 S
0 3 female 48 4 34.375 S
1 1 male 35 1 512.3292 C
0 1 male 36 1 78.85 S
1 1 female 21 3 262.375 C
0 3 male 24 1 16.1 S
1 3 male 31 1 7.925 S
0 1 male 70 2 71 S
0 3 male 16 2 20.25 S
1 2 female 30 1 13 S
0 1 male 19 1 53.1 S
0 3 male 31 1 7.75 Q
1 2 female 4 2 23 S
1 3 male 6 2 12.475 S
0 3 male 33 1 9.5 S
0 3 male 23 1 7.8958 S
1 2 female 48 3 65 S
1 2 male 0.67 2 14.5 S
0 3 male 28 1 7.7958 S
0 2 male 18 1 11.5 S
0 3 male 34 1 8.05 S
1 1 female 33 1 86.5 S
0 3 male 41 1 7.125 S
1 3 male 20 1 7.2292 C
1 1 female 36 3 120 S
0 3 male 16 1 7.775 S
1 1 female 51 1 77.9583 S
0 3 female 30.5 1 7.75 Q
0 3 male 32 1 8.3625 S
0 3 male 24 1 9.5 S
0 3 male 48 1 7.8542 S
0 2 female 57 1 10.5 S
1 2 female 54 4 23 S
0 3 male 18 1 7.75 S
1 3 female 5 1 12.475 S
1 1 female 43 2 211.3375 S
1 3 female 13 1 7.2292 C
1 1 female 17 1 57 S
0 1 male 29 1 30 S
0 3 male 25 1 7.05 S
0 3 male 25 1 7.25 S
1 3 female 18 1 7.4958 S
0 3 male 8 2 29.125 Q
1 3 male 1 3 20.575 S
0 1 male 46 1 79.2 C
0 2 male 16 1 26 S
0 3 male 25 1 7.8958 S
0 2 male 39 1 13 S
1 1 female 49 1 25.9292 S
1 3 female 31 1 8.6833 S
0 3 male 30 1 7.2292 C
0 3 female 30 2 24.15 S
0 2 male 34 1 13 S
1 2 female 31 2 26.25 S
1 1 male 11 3 120 S
1 3 male 0.42 2 8.5167 C
1 3 male 27 1 6.975 S
0 3 male 31 1 7.775 S
0 1 male 39 1 0 S
0 3 female 18 1 7.775 S
0 2 male 39 1 13 S
1 1 female 33 1 53.1 S
0 3 male 26 1 7.8875 S
0 3 male 39 1 24.15 S
0 2 male 35 1 10.5 S
0 3 female 6 3 31.275 S
0 3 male 30.5 1 8.05 S
0 3 female 23 1 7.925 S
0 2 male 31 2 37.0042 C
0 3 male 43 1 6.45 S
0 3 male 10 3 27.9 S
1 1 female 52 2 93.5 S
1 3 male 27 1 8.6625 S
0 1 male 38 1 0 S
1 3 female 27 2 12.475 S
0 3 male 2 2 39.6875 S
1 2 male 1 3 37.0042 C
1 3 female 15 1 14.4542 C
1 2 male 0.83 2 18.75 S
0 3 male 23 1 7.8542 S
0 3 male 18 1 8.3 S
1 1 female 39 2 83.1583 C
0 3 male 21 1 8.6625 S
1 3 male 32 1 56.4958 S
0 3 male 20 1 7.925 S
0 2 male 16 1 10.5 S
1 1 female 30 1 31 C
0 3 male 34.5 1 6.4375 C
0 3 male 17 1 8.6625 S
0 3 male 42 1 7.55 S
0 3 male 35 1 7.8958 C
0 2 male 28 2 33 S
0 3 male 4 3 31.275 S
0 3 male 74 1 7.775 S
0 3 female 9 2 15.2458 C
1 1 female 16 2 39.4 S
0 2 female 44 1 26 S
1 3 female 18 2 9.35 S
1 1 female 45 2 164.8667 S
1 1 male 51 1 26.55 S
1 3 female 24 4 19.2583 C
0 3 male 41 1 14.1083 S
0 2 male 21 1 11.5 S
1 1 female 48 1 25.9292 S
0 2 male 24 1 13 S
1 2 female 42 1 13 S
1 2 female 27 1 13.8583 C
0 1 male 31 1 50.4958 S
1 3 male 4 2 11.1333 S
0 3 male 26 1 7.8958 S
1 1 female 47 2 52.5542 S
0 1 male 33 1 5 S
0 3 male 47 1 9 S
1 2 female 28 1 24 C
1 3 female 15 1 7.225 C
0 3 male 20 1 9.8458 S
